Sep 26, 2019  03:46:27 PM
Residual Gas Analyzer Software 
Software Version, 3.005

vaccum 10^-5

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


 46.90,   1.11E-009, 
 47.00,   1.02E-009, 
 47.10,   1.06E-009, 
 47.20,   1.07E-009, 
 47.30,   1.09E-009, 
 47.40,   1.04E-009, 
 47.50,   7.79E-010, 
 47.60,   6.20E-010, 
 47.70,   5.84E-010, 
 47.80,   6.70E-010, 
 47.90,   6.61E-010, 
 48.00,   7.94E-010, 
 48.10,   7.92E-010, 
 48.20,   8.10E-010, 
 48.30,   8.63E-010, 
 48.40,   7.77E-010, 
 48.50,   7.25E-010, 
 48.60,   6.63E-010, 
 48.70,   4.69E-010, 
 48.80,   2.27E-010, 
 48.90,   3.50E-010, 
 49.00,   3.64E-010, 
 49.10,   4.11E-010, 
 49.20,   6.74E-010, 
 49.30,   5.67E-010, 
 49.40,   2.14E-010, 
 49.50,   2.09E-010, 
 49.60,   2.56E-010, 
 49.70,   2.82E-010, 
 49.80,   2.68E-010, 
 49.90,   3.19E-010, 
 50.00,   3.95E-010, 
 50.10,   7.52E-010, 
 50.20,   7.09E-010, 
 50.30,   6.76E-010, 
 50.40,   5.89E-010, 
 50.50,   2.82E-010, 
 50.60,   1.68E-010, 
 50.70,   2.50E-010, 
 50.80,   3.15E-010, 
 50.90,   3.29E-010, 
 51.00,   3.58E-010, 
 51.10,   5.55E-010, 
 51.20,   7.15E-010, 
 51.30,   6.12E-010, 
 51.40,   5.67E-010, 
 51.50,   1.58E-010, 
 51.60,   2.01E-010, 
 51.70,   3.68E-010, 
 51.80,   7.12E-010, 
 51.90,   7.27E-010, 
 52.00,   7.50E-010, 
 52.10,   7.49E-010, 
 52.20,   7.99E-010, 
 52.30,   8.26E-010, 
 52.40,   8.37E-010, 
 52.50,   7.11E-010, 
 52.60,   6.40E-010, 
 52.70,   5.36E-010, 
 52.80,   2.60E-010, 
 52.90,   3.17E-010, 
 53.00,   2.97E-010, 
 53.10,   3.17E-010, 
 53.20,   3.30E-010, 
 53.30,   3.96E-010, 
 53.40,   3.68E-010, 
 53.50,   5.74E-010, 
 53.60,   6.89E-010, 
 53.70,   4.59E-010, 
 53.80,   1.93E-010, 
 53.90,   3.07E-010, 
 54.00,   4.62E-010, 
 54.10,   7.44E-010, 
 54.20,   6.24E-010, 
 54.30,   5.91E-010, 
 54.40,   3.50E-010, 
 54.50,   2.09E-010, 
 54.60,   3.39E-010, 
 54.70,   3.41E-010, 
 54.80,   5.13E-010, 
 54.90,   6.53E-010, 
 55.00,   6.68E-010, 
 55.10,   5.36E-010, 
 55.20,   5.68E-010, 
 55.30,   5.70E-010, 
 55.40,   2.47E-010, 
 55.50,   3.26E-010, 
 55.60,   2.83E-010, 
 55.70,   3.26E-010, 
 55.80,   7.39E-010, 
 55.90,   6.33E-010, 
 56.00,   5.55E-010, 
 56.10,   5.92E-010, 
 56.20,   6.02E-010, 
 56.30,   6.16E-010, 
 56.40,   7.02E-010, 
 56.50,   6.15E-010, 
 56.60,   3.23E-010, 
 56.70,   2.15E-010, 
 56.80,   2.41E-010, 
 56.90,   3.42E-010, 
 57.00,   7.25E-010, 
 57.10,   6.60E-010, 
 57.20,   6.71E-010, 
 57.30,   6.29E-010, 
 57.40,   6.71E-010, 
 57.50,   5.66E-010, 
 57.60,   3.91E-010, 
 57.70,   1.89E-010, 
 57.80,   2.69E-010, 
 57.90,   2.85E-010, 
 58.00,   4.20E-010, 
 58.10,   7.71E-010, 
 58.20,   7.37E-010, 
 58.30,   6.78E-010, 
 58.40,   6.82E-010, 
 58.50,   6.37E-010, 
 58.60,   5.77E-010, 
 58.70,   4.05E-010, 
 58.80,   2.91E-010, 
 58.90,   3.26E-010, 
 59.00,   3.21E-010, 
 59.10,   3.25E-010, 
 59.20,   3.30E-010, 
 59.30,   3.65E-010, 
 59.40,   3.91E-010, 
 59.50,   5.01E-010, 
 59.60,   7.10E-010, 
 59.70,   5.28E-010, 
 59.80,   3.99E-010, 
 59.90,   2.17E-010, 
 60.00,   3.20E-010, 
 60.10,   4.30E-010, 
 60.20,   6.93E-010, 
 60.30,   6.43E-010, 
 60.40,   6.44E-010, 
 60.50,   4.89E-010, 
 60.60,   1.46E-010, 
 60.70,   2.59E-010, 
 60.80,   3.52E-010, 
 60.90,   7.96E-010, 
 61.00,   7.52E-010, 
 61.10,   6.97E-010, 
 61.20,   6.88E-010, 
 61.30,   6.18E-010, 
 61.40,   5.04E-010, 
 61.50,   1.63E-010, 
 61.60,   3.03E-010, 
 61.70,   2.73E-010, 
 61.80,   3.07E-010, 
 61.90,   3.80E-010, 
 62.00,   4.20E-010, 
 62.10,   7.38E-010, 
 62.20,   6.27E-010, 
 62.30,   2.55E-010, 
 62.40,   3.08E-010, 
 62.50,   3.75E-010, 
 62.60,   3.86E-010, 
 62.70,   6.79E-010, 
 62.80,   6.20E-010, 
 62.90,   6.40E-010, 
 63.00,   6.14E-010, 
 63.10,   5.59E-010, 
 63.20,   6.01E-010, 
 63.30,   5.76E-010, 
 63.40,   2.75E-010, 
 63.50,   2.89E-010, 
 63.60,   5.97E-010, 
 63.70,   8.54E-010, 
 63.80,   8.45E-010, 
 63.90,   9.27E-010, 
 64.00,   1.02E-009, 
 64.10,   9.94E-010, 
 64.20,   1.09E-009, 
 64.30,   1.01E-009, 
 64.40,   8.73E-010, 
 64.50,   6.99E-010, 
 64.60,   6.14E-010, 
 64.70,   3.02E-010, 
 64.80,   2.79E-010, 
 64.90,   3.47E-010, 
 65.00,   3.28E-010, 
