AMU,neon1,neon2,neon3
24.9,6E-10,6.51E-10,9.74E-10
25,8.16E-10,6.12E-10,1.04E-09
25.1,8.53E-10,5.93E-10,1.12E-09
25.2,9.27E-10,6.65E-10,1.19E-09
25.3,8.67E-10,7.49E-10,1.11E-09
25.4,8.61E-10,6.84E-10,9.54E-10
25.5,7.99E-10,7.13E-10,1.12E-09
25.6,1.09E-09,1.21E-09,1.84E-09
25.7,2.04E-09,2.17E-09,3.2E-09
25.8,3.43E-09,3.28E-09,4.72E-09
25.9,4.81E-09,4.33E-09,6.22E-09
26,6.12E-09,5.25E-09,7.26E-09
26.1,6.98E-09,5.77E-09,8.01E-09
26.2,7.6E-09,6.03E-09,8.42E-09
26.3,7.85E-09,5.94E-09,8.21E-09
26.4,0.000000007,5.05E-09,6.46E-09
26.5,6.07E-09,5.21E-09,6.75E-09
26.6,0.000000008,8.41E-09,1.11E-08
26.7,1.45E-08,1.47E-08,1.99E-08
26.8,2.47E-08,2.31E-08,3.07E-08
26.9,3.62E-08,3.38E-08,4.43E-08
27,5.55E-08,0.000000053,6.55E-08
27.1,8.38E-08,0.000000086,0.0000001
27.2,0.000000141,0.000000158,0.000000176
27.3,0.000000269,0.00000034,0.000000369
27.4,0.000000617,0.000000903,0.00000095
27.5,0.00000187,0.00000355,0.0000037
27.6,0.00000719,0.0000103,0.000011
27.7,0.0000157,0.0000169,0.0000176
27.8,0.0000222,0.0000211,0.0000217
27.9,0.0000264,0.0000249,0.0000255
28,0.0000313,0.0000264,0.0000266
28.1,0.0000309,0.0000262,0.000027
28.2,0.0000301,0.0000227,0.0000237
28.3,0.0000271,0.0000145,0.0000148
28.4,0.00000581,0.000000351,0.000000364
28.5,0.000000114,7.59E-08,0.000000119
28.6,0.000000113,0.000000186,0.000000329
28.7,0.000000258,0.000000326,0.000000559
28.8,0.000000382,0.000000417,0.000000699
28.9,0.000000468,0.000000508,0.000000838
29,0.000000551,0.00000052,0.000000852
29.1,0.000000539,0.000000514,0.000000862
29.2,0.000000517,0.000000449,0.000000757
29.3,0.000000474,0.000000318,0.000000506
29.4,0.000000156,5.68E-08,6.67E-08
29.5,6.68E-08,0.00000014,0.000000153
29.6,0.000000303,0.000000442,0.000000477
29.7,0.000000647,0.000000715,0.000000741
29.8,0.0000009,0.00000086,0.000000891
29.9,0.00000106,0.00000102,0.00000105
30,0.00000119,0.00000101,0.00000105
30.1,0.00000116,0.000000997,0.00000105
30.2,0.00000108,0.000000864,0.000000913
30.3,0.000000987,0.000000492,0.000000509
30.4,0.000000199,3.52E-08,3.59E-08
30.5,0.000000018,9.86E-09,1.03E-08
30.6,8.33E-09,6.9E-09,7.71E-09
30.7,8.12E-09,7.96E-09,9.76E-09
30.8,1.08E-08,1.06E-08,1.33E-08
30.9,1.47E-08,1.43E-08,1.78E-08
31,2.03E-08,1.96E-08,2.38E-08
31.1,0.000000028,0.000000028,3.35E-08
31.2,4.34E-08,4.63E-08,0.000000055
31.3,7.89E-08,9.49E-08,0.000000111
31.4,0.000000167,0.000000254,0.000000287
31.5,0.000000561,0.00000116,0.00000132
31.6,0.00000235,0.00000298,0.00000334
31.7,0.00000433,0.00000435,0.00000469
31.8,0.00000565,0.00000503,0.0000054
31.9,0.00000649,0.00000592,0.00000627
32,0.00000733,0.00000586,0.00000621
32.1,0.00000713,0.00000575,0.00000621
32.2,0.00000659,0.00000505,0.00000549
32.3,0.00000592,0.00000234,0.00000249
32.4,0.000000777,6.92E-08,7.23E-08
32.5,3.11E-08,1.41E-08,1.64E-08
32.6,0.000000012,9.96E-09,1.52E-08
32.7,1.12E-08,0.000000012,2.24E-08
32.8,1.43E-08,1.56E-08,2.99E-08
32.9,1.81E-08,1.94E-08,3.67E-08
33,2.23E-08,2.22E-08,4.01E-08
33.1,2.39E-08,2.24E-08,4.05E-08
33.2,2.37E-08,2.13E-08,3.67E-08
33.3,2.22E-08,1.78E-08,2.93E-08
33.4,1.55E-08,8.6E-09,1.18E-08
33.5,7.47E-09,6.14E-09,7.64E-09
33.6,7.5E-09,8.49E-09,1.03E-08
33.7,0.000000012,0.000000013,1.52E-08
33.8,1.84E-08,1.72E-08,1.96E-08
33.9,2.32E-08,0.000000021,2.38E-08
34,2.76E-08,2.31E-08,2.62E-08
34.1,2.84E-08,2.32E-08,2.65E-08
34.2,2.81E-08,2.17E-08,2.46E-08
34.3,2.56E-08,1.79E-08,2.02E-08
34.4,1.69E-08,8.34E-09,9.08E-09
34.5,6.86E-09,3.91E-09,4.22E-09
34.6,3.29E-09,2.2E-09,2.47E-09
34.7,1.85E-09,1.4E-09,1.71E-09
34.8,1.25E-09,1.04E-09,1.34E-09
34.9,9.73E-10,8.61E-10,1.15E-09
35,8.29E-10,7.66E-10,1.04E-09
35.1,8.1E-10,6.41E-10,1.08E-09
35.2,7.68E-10,6.23E-10,9.74E-10
35.3,6.65E-10,5.88E-10,8.68E-10
35.4,5.74E-10,3.26E-10,7.55E-10
35.5,5.2E-10,3.8E-10,9.15E-10
35.6,7.55E-10,1.03E-09,1.44E-09
35.7,1.15E-09,1.39E-09,1.92E-09
35.8,1.65E-09,1.8E-09,2.4E-09
35.9,2.1E-09,2.17E-09,2.74E-09
36,2.57E-09,2.42E-09,3.1E-09
36.1,2.88E-09,2.51E-09,3.32E-09
36.2,3.14E-09,2.39E-09,3.21E-09
36.3,3.07E-09,0.000000002,2.77E-09
36.4,2.28E-09,1.27E-09,1.75E-09
36.5,1.34E-09,9.13E-10,1.15E-09
36.6,7.85E-10,6.61E-10,9.49E-10
36.7,5.9E-10,2.89E-10,8.34E-10
36.8,3.56E-10,2.12E-10,7.92E-10
36.9,2.75E-10,2.56E-10,8.14E-10
