Sep 24, 2019  04:10:16 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


 32.80,   4.36E-010, 
 32.90,   4.12E-010, 
 33.00,   4.66E-010, 
 33.10,   5.15E-010, 
 33.20,   4.75E-010, 
 33.30,   4.17E-010, 
 33.40,   2.33E-010, 
 33.50,   7.96E-011, 
 33.60,   1.02E-010, 
 33.70,   1.60E-010, 
 33.80,   2.71E-010, 
 33.90,   2.73E-010, 
 34.00,   3.09E-010, 
 34.10,   3.01E-010, 
 34.20,   3.56E-010, 
 34.30,   3.67E-010, 
 34.40,   1.74E-010, 
 34.50,   6.79E-011, 
 34.60,   2.86E-011, 
 34.70,   4.21E-011, 
 34.80,   9.14E-011, 
 34.90,   1.09E-010, 
 35.00,   1.19E-010, 
 35.10,   1.44E-010, 
 35.20,   1.37E-010, 
 35.30,   9.14E-011, 
 35.40,   7.68E-011, 
 35.50,   9.81E-011, 
 35.60,   1.45E-010, 
 35.70,   2.52E-010, 
 35.80,   2.51E-010, 
 35.90,   3.43E-010, 
 36.00,   3.73E-010, 
 36.10,   3.52E-010, 
 36.20,   2.87E-010, 
 36.30,   2.77E-010, 
 36.40,   1.19E-010, 
 36.50,   6.90E-011, 
 36.60,   6.34E-011, 
 36.70,   8.36E-011, 
 36.80,   1.04E-010, 
 36.90,   1.39E-010, 
 37.00,   2.20E-010, 
 37.10,   1.59E-010, 
 37.20,   2.64E-010, 
 37.30,   1.76E-010, 
 37.40,   8.30E-011, 
 37.50,   4.88E-011, 
 37.60,   9.81E-011, 
 37.70,   1.24E-010, 
 37.80,   1.92E-010, 
 37.90,   2.50E-010, 
 38.00,   2.89E-010, 
 38.10,   2.68E-010, 
 38.20,   2.84E-010, 
 38.30,   2.94E-010, 
 38.40,   2.24E-010, 
 38.50,   7.07E-011, 
 38.60,   1.15E-010, 
 38.70,   1.78E-010, 
 38.80,   3.21E-010, 
 38.90,   3.31E-010, 
 39.00,   3.79E-010, 
 39.10,   4.58E-010, 
 39.20,   4.69E-010, 
 39.30,   4.57E-010, 
 39.40,   3.88E-010, 
 39.50,   3.36E-010, 
 39.60,   4.58E-010, 
 39.70,   6.79E-010, 
 39.80,   8.77E-010, 
 39.90,   1.12E-009, 
 40.00,   1.36E-009, 
 40.10,   1.49E-009, 
 40.20,   1.44E-009, 
 40.30,   1.18E-009, 
 40.40,   6.97E-010, 
 40.50,   4.23E-010, 
 40.60,   3.91E-010, 
 40.70,   4.49E-010, 
 40.80,   4.97E-010, 
 40.90,   6.37E-010, 
 41.00,   7.55E-010, 
 41.10,   9.25E-010, 
 41.20,   9.69E-010, 
 41.30,   8.73E-010, 
 41.40,   6.16E-010, 
 41.50,   3.79E-010, 
 41.60,   3.58E-010, 
 41.70,   4.13E-010, 
 41.80,   4.94E-010, 
 41.90,   6.30E-010, 
 42.00,   7.75E-010, 
 42.10,   9.12E-010, 
 42.20,   9.66E-010, 
 42.30,   8.97E-010, 
 42.40,   6.14E-010, 
 42.50,   4.16E-010, 
 42.60,   4.64E-010, 
 42.70,   6.20E-010, 
 42.80,   8.91E-010, 
 42.90,   1.22E-009, 
 43.00,   1.53E-009, 
 43.10,   1.90E-009, 
 43.20,   2.35E-009, 
 43.30,   2.84E-009, 
 43.40,   3.94E-009, 
 43.50,   1.59E-008, 
 43.60,   5.00E-008, 
 43.70,   6.74E-008, 
 43.80,   8.23E-008, 
 43.90,   1.01E-007, 
 44.00,   1.13E-007, 
 44.10,   1.19E-007, 
 44.20,   1.03E-007, 
 44.30,   6.93E-008, 
 44.40,   1.07E-008, 
 44.50,   2.25E-009, 
 44.60,   1.25E-009, 
 44.70,   1.20E-009, 
 44.80,   1.30E-009, 
 44.90,   1.52E-009, 
 45.00,   1.82E-009, 
 45.10,   2.05E-009, 
 45.20,   2.15E-009, 
 45.30,   1.84E-009, 
 45.40,   1.05E-009, 
 45.50,   5.31E-010, 
 45.60,   3.83E-010, 
 45.70,   3.98E-010, 
 45.80,   4.29E-010, 
 45.90,   5.11E-010, 
 46.00,   5.96E-010, 
 46.10,   6.98E-010, 
 46.20,   7.15E-010, 
 46.30,   6.43E-010, 
 46.40,   4.36E-010, 
 46.50,   2.57E-010, 
 46.60,   1.04E-010, 
 46.70,   7.12E-011, 
 46.80,   7.85E-011, 
 46.90,   7.80E-011, 
 47.00,   6.90E-011, 
 47.10,   8.13E-011, 
 47.20,   9.09E-011, 
 47.30,   7.40E-011, 
 47.40,   9.42E-011, 
 47.50,   9.53E-011, 
 47.60,   1.34E-010, 
 47.70,   9.03E-011, 
 47.80,   7.29E-011, 
 47.90,   8.08E-011, 
 48.00,   1.11E-010, 
 48.10,   1.12E-010, 
 48.20,   1.25E-010, 
 48.30,   1.08E-010, 
 48.40,   8.58E-011, 
 48.50,   6.39E-011, 
 48.60,   6.45E-011, 
 48.70,   6.11E-011, 
 48.80,   6.00E-011, 
 48.90,   6.56E-011, 
 49.00,   7.63E-011, 
 49.10,   9.09E-011, 
 49.20,   9.37E-011, 
 49.30,   6.39E-011, 
 49.40,   8.41E-012, 
 49.50,   1.23E-011, 
 49.60,   6.39E-011, 
 49.70,   7.57E-011, 
 49.80,   1.27E-010, 
 49.90,   1.18E-010, 
 50.00,   8.41E-011, 
 50.10,   8.64E-011, 
 50.20,   9.70E-011, 
 50.30,   1.11E-010, 
