AMU,Pressure1,Pressure2,Pressure3
40.6,4.03E-10,4.34E-10,3.58E-10
40.7,2.08E-10,4.36E-10,2.86E-10
40.8,6.98E-10,4.62E-10,7.34E-10
40.9,7.59E-10,4.05E-10,7.59E-10
41,7.55E-10,5.86E-10,9.10E-10
41.1,7.80E-10,6.79E-10,9.40E-10
41.2,8.24E-10,7.28E-10,9.74E-10
41.3,8.34E-10,7.20E-10,9.09E-10
41.4,6.39E-10,5.30E-10,6.40E-10
41.5,3.90E-10,4.43E-10,1.21E-10
41.6,8.13E-11,4.04E-10,2.18E-10
41.7,2.96E-10,7.52E-11,4.46E-10
41.8,6.88E-10,4.91E-10,8.10E-10
41.9,7.81E-10,8.01E-10,7.82E-10
42,9.26E-10,8.84E-10,1.03E-09
42.1,1.01E-09,9.62E-10,1.17E-09
42.2,1.09E-09,1.03E-09,1.22E-09
42.3,1.04E-09,9.90E-10,1.18E-09
42.4,8.09E-10,7.87E-10,9.15E-10
42.5,5.54E-10,5.79E-10,6.23E-10
42.6,5.62E-10,6.16E-10,6.27E-10
42.7,7.39E-10,7.62E-10,7.96E-10
42.8,1.04E-09,9.61E-10,1.11E-09
42.9,1.44E-09,1.39E-09,1.41E-09
43,1.82E-09,1.79E-09,1.75E-09
43.1,2.26E-09,2.11E-09,2.04E-09
43.2,2.75E-09,2.69E-09,2.53E-09
43.3,3.36E-09,3.42E-09,3.21E-09
43.4,4.68E-09,4.95E-09,4.61E-09
43.5,1.45E-08,1.65E-08,1.41E-08
43.6,5.25E-08,5.96E-08,5.08E-08
43.7,8.40E-08,9.20E-08,8.07E-08
43.8,1.06E-07,1.16E-07,1.02E-07
43.9,1.30E-07,1.40E-07,1.25E-07
44,1.45E-07,1.57E-07,1.39E-07
44.1,1.51E-07,1.65E-07,1.46E-07
44.2,1.31E-07,1.43E-07,1.27E-07
44.3,9.42E-08,1.03E-07,9.09E-08
44.4,2.39E-08,2.47E-08,2.32E-08
44.5,8.04E-09,8.04E-09,7.93E-09
44.6,4.26E-09,4.15E-09,4.28E-09
44.7,2.95E-09,2.92E-09,2.97E-09
44.8,2.59E-09,2.62E-09,2.63E-09
44.9,2.59E-09,2.68E-09,2.70E-09
45,2.78E-09,2.87E-09,2.81E-09
45.1,3.03E-09,3.07E-09,2.98E-09
45.2,3.03E-09,3.08E-09,3.02E-09
45.3,2.67E-09,2.75E-09,2.76E-09
45.4,1.85E-09,1.76E-09,1.80E-09
45.5,1.13E-09,1.02E-09,1.06E-09
45.6,8.13E-10,6.42E-10,7.62E-10
45.7,6.78E-10,5.92E-10,7.40E-10
45.8,6.42E-10,6.35E-10,7.06E-10
45.9,7.62E-10,6.77E-10,7.99E-10
46,8.43E-10,7.42E-10,9.38E-10
46.1,8.53E-10,8.13E-10,1.02E-09
46.2,9.44E-10,9.00E-10,1.01E-09
46.3,8.62E-10,8.73E-10,8.90E-10
46.4,6.19E-10,6.22E-10,7.34E-10
46.5,5.61E-11,4.19E-10,2.89E-10
46.6,3.48E-11,3.59E-11,3.76E-11
46.7,6.56E-11,2.24E-11,1.09E-10
46.8,1.33E-10,-9.20E-11,9.59E-11
46.9,7.80E-11,-1.63E-10,9.31E-11
47,1.47E-10,-9.87E-11,4.60E-11
47.1,1.39E-10,-8.58E-11,4.43E-11
47.2,9.31E-11,-6.06E-11,9.20E-11
47.3,1.10E-10,-7.23E-11,3.48E-11
47.4,1.86E-10,-7.57E-11,3.20E-11
47.5,1.43E-10,2.13E-11,4.15E-11
47.6,1.69E-10,6.00E-11,1.31E-10
47.7,1.45E-10,7.52E-11,1.22E-10
47.8,1.46E-10,1.52E-10,1.99E-10
47.9,1.16E-10,1.22E-10,2.66E-10
48,1.44E-10,7.46E-11,2.57E-10
48.1,1.89E-10,1.14E-10,2.33E-10
48.2,1.56E-10,9.48E-11,2.91E-10
48.3,1.32E-10,2.80E-11,2.44E-10
48.4,1.25E-10,-2.64E-11,2.54E-10
48.5,8.47E-11,-2.13E-11,8.41E-11
48.6,9.70E-11,-4.54E-11,7.91E-11
48.7,1.15E-10,-2.52E-11,2.64E-11
48.8,1.23E-10,1.79E-11,2.64E-11
48.9,1.03E-10,9.53E-12,8.64E-11
49,1.17E-10,-2.47E-11,3.31E-11
49.1,1.93E-10,1.63E-11,5.10E-11
49.2,1.23E-10,5.10E-11,1.30E-10
49.3,1.41E-10,3.81E-11,1.53E-10
49.4,1.20E-10,-2.64E-11,9.53E-11
49.5,1.04E-10,-2.64E-11,1.36E-10
49.6,9.20E-11,-5.05E-11,1.49E-10
49.7,1.06E-10,1.18E-11,1.23E-10
49.8,1.64E-10,4.49E-11,1.00E-10
49.9,1.26E-10,3.03E-11,1.81E-10
50,1.18E-10,2.24E-11,2.05E-10
50.1,6.84E-11,9.09E-11,2.56E-10
50.2,5.50E-11,5.61E-11,1.74E-10
50.3,4.43E-11,6.90E-11,2.01E-10
50.4,4.49E-11,1.38E-10,1.72E-10
50.5,1.68E-12,8.08E-11,1.92E-10
50.6,1.91E-11,1.09E-10,2.03E-10
50.7,5.55E-11,1.69E-10,2.00E-10
50.8,1.22E-10,1.56E-10,1.86E-10
50.9,1.31E-10,6.11E-11,1.87E-10
51,1.52E-10,3.59E-11,2.26E-10
51.1,1.87E-10,6.79E-11,2.61E-10
51.2,1.76E-10,3.03E-11,2.54E-10
51.3,2.39E-10,-2.75E-11,3.07E-10
51.4,1.30E-10,-2.80E-12,5.60E-10
51.5,1.67E-10,5.33E-11,1.45E-10
51.6,1.55E-10,1.79E-11,3.93E-11
51.7,1.53E-10,8.97E-12,8.81E-11
51.8,1.85E-10,-1.79E-11,1.77E-10
51.9,2.23E-10,-5.66E-11,1.10E-10
52,2.09E-10,2.08E-11,1.77E-10
52.1,2.26E-10,1.00E-10,2.51E-10
52.2,1.54E-10,7.35E-11,1.94E-10
52.3,8.64E-11,1.59E-10,2.19E-10
52.4,1.43E-10,1.65E-10,1.91E-10
52.5,1.49E-10,9.20E-11,2.24E-10
52.6,1.23E-10,5.22E-11,2.50E-10
52.7,7.85E-11,5.22E-11,1.80E-10
52.8,1.10E-10,0.00E+00,1.25E-10
52.9,1.49E-10,-2.52E-11,7.52E-11
53,1.39E-10,5.61E-11,1.63E-10
53.1,1.23E-10,-8.97E-12,2.09E-10
53.2,6.84E-11,-3.25E-11,2.04E-10
53.3,3.53E-11,3.98E-11,1.09E-10
53.4,1.14E-10,-3.03E-11,1.16E-10
53.5,6.56E-11,2.64E-11,1.33E-10
53.6,7.96E-11,-3.87E-11,1.77E-10
53.7,1.16E-10,-2.41E-11,1.56E-10
53.8,1.02E-10,2.58E-11,1.75E-10
53.9,9.37E-11,5.83E-11,1.43E-10
54,6.06E-11,-1.12E-11,1.78E-10
54.1,1.46E-10,-4.26E-11,1.88E-10
54.2,1.41E-10,-6.73E-11,2.19E-10
54.3,1.56E-10,-5.05E-12,2.64E-10
54.4,1.24E-10,-5.22E-11,2.10E-10
54.5,1.36E-10,-5.61E-11,1.96E-10
54.6,1.33E-10,2.97E-11,1.90E-10
54.7,1.20E-10,7.68E-11,1.32E-10
54.8,1.79E-10,6.62E-11,1.13E-10
54.9,1.31E-10,-1.63E-11,1.82E-10
55,1.36E-10,-8.97E-12,1.85E-10
55.1,1.50E-10,9.20E-11,2.68E-10
55.2,2.00E-10,1.54E-10,2.97E-10
55.3,2.49E-10,1.40E-10,2.24E-10
55.4,1.76E-10,8.08E-11,1.58E-10
55.5,1.57E-10,-2.47E-11,1.55E-10
55.6,1.65E-10,-3.08E-11,2.47E-10
55.7,1.37E-10,1.12E-12,2.60E-10
55.8,1.54E-10,5.44E-11,2.23E-10
