Sep 24, 2019  04:05:58 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


 44.20,   1.27E-007, 
 44.30,   9.09E-008, 
 44.40,   2.32E-008, 
 44.50,   7.93E-009, 
 44.60,   4.28E-009, 
 44.70,   2.97E-009, 
 44.80,   2.63E-009, 
 44.90,   2.70E-009, 
 45.00,   2.81E-009, 
 45.10,   2.98E-009, 
 45.20,   3.02E-009, 
 45.30,   2.76E-009, 
 45.40,   1.80E-009, 
 45.50,   1.06E-009, 
 45.60,   7.62E-010, 
 45.70,   7.40E-010, 
 45.80,   7.06E-010, 
 45.90,   7.99E-010, 
 46.00,   9.38E-010, 
 46.10,   1.02E-009, 
 46.20,   1.01E-009, 
 46.30,   8.90E-010, 
 46.40,   7.34E-010, 
 46.50,   2.89E-010, 
 46.60,   3.76E-011, 
 46.70,   1.09E-010, 
 46.80,   9.59E-011, 
 46.90,   9.31E-011, 
 47.00,   4.60E-011, 
 47.10,   4.43E-011, 
 47.20,   9.20E-011, 
 47.30,   3.48E-011, 
 47.40,   3.20E-011, 
 47.50,   4.15E-011, 
 47.60,   1.31E-010, 
 47.70,   1.22E-010, 
 47.80,   1.99E-010, 
 47.90,   2.66E-010, 
 48.00,   2.57E-010, 
 48.10,   2.33E-010, 
 48.20,   2.91E-010, 
 48.30,   2.44E-010, 
 48.40,   2.54E-010, 
 48.50,   8.41E-011, 
 48.60,   7.91E-011, 
 48.70,   2.64E-011, 
 48.80,   2.64E-011, 
 48.90,   8.64E-011, 
 49.00,   3.31E-011, 
 49.10,   5.10E-011, 
 49.20,   1.30E-010, 
 49.30,   1.53E-010, 
 49.40,   9.53E-011, 
 49.50,   1.36E-010, 
 49.60,   1.49E-010, 
 49.70,   1.23E-010, 
 49.80,   1.00E-010, 
 49.90,   1.81E-010, 
 50.00,   2.05E-010, 
 50.10,   2.56E-010, 
 50.20,   1.74E-010, 
 50.30,   2.01E-010, 
 50.40,   1.72E-010, 
 50.50,   1.92E-010, 
 50.60,   2.03E-010, 
 50.70,   2.00E-010, 
 50.80,   1.86E-010, 
 50.90,   1.87E-010, 
 51.00,   2.26E-010, 
 51.10,   2.61E-010, 
 51.20,   2.54E-010, 
 51.30,   3.07E-010, 
 51.40,   5.60E-010, 
 51.50,   1.45E-010, 
 51.60,   3.93E-011, 
 51.70,   8.81E-011, 
 51.80,   1.77E-010, 
 51.90,   1.10E-010, 
 52.00,   1.77E-010, 
 52.10,   2.51E-010, 
 52.20,   1.94E-010, 
 52.30,   2.19E-010, 
 52.40,   1.91E-010, 
 52.50,   2.24E-010, 
 52.60,   2.50E-010, 
 52.70,   1.80E-010, 
 52.80,   1.25E-010, 
 52.90,   7.52E-011, 
 53.00,   1.63E-010, 
 53.10,   2.09E-010, 
 53.20,   2.04E-010, 
 53.30,   1.09E-010, 
 53.40,   1.16E-010, 
 53.50,   1.33E-010, 
 53.60,   1.77E-010, 
 53.70,   1.56E-010, 
 53.80,   1.75E-010, 
 53.90,   1.43E-010, 
 54.00,   1.78E-010, 
 54.10,   1.88E-010, 
 54.20,   2.19E-010, 
 54.30,   2.64E-010, 
 54.40,   2.10E-010, 
 54.50,   1.96E-010, 
 54.60,   1.90E-010, 
 54.70,   1.32E-010, 
 54.80,   1.13E-010, 
 54.90,   1.82E-010, 
 55.00,   1.85E-010, 
 55.10,   2.68E-010, 
 55.20,   2.97E-010, 
 55.30,   2.24E-010, 
 55.40,   1.58E-010, 
 55.50,   1.55E-010, 
 55.60,   2.47E-010, 
 55.70,   2.60E-010, 
 55.80,   2.23E-010, 
 55.90,   1.88E-010, 
 56.00,   1.45E-010, 
 56.10,   2.52E-010, 
 56.20,   2.59E-010, 
 56.30,   2.62E-010, 
 56.40,   2.17E-010, 
 56.50,   2.06E-010, 
 56.60,   2.37E-010, 
 56.70,   1.90E-010, 
 56.80,   2.22E-010, 
 56.90,   2.93E-010, 
 57.00,   5.11E-010, 
 57.10,   6.42E-010, 
 57.20,   5.23E-010, 
 57.30,   1.82E-010, 
 57.40,   1.87E-010, 
 57.50,   1.35E-010, 
 57.60,   1.39E-010, 
 57.70,   1.23E-010, 
 57.80,   2.55E-010, 
 57.90,   2.69E-010, 
 58.00,   2.68E-010, 
 58.10,   2.76E-010, 
 58.20,   2.64E-010, 
 58.30,   2.16E-010, 
 58.40,   2.50E-010, 
 58.50,   2.05E-010, 
 58.60,   1.83E-010, 
 58.70,   2.78E-010, 
 58.80,   2.65E-010, 
 58.90,   2.21E-010, 
 59.00,   2.21E-010, 
 59.10,   1.78E-010, 
 59.20,   2.53E-010, 
 59.30,   2.41E-010, 
 59.40,   2.08E-010, 
 59.50,   1.70E-010, 
 59.60,   1.72E-010, 
 59.70,   1.93E-010, 
 59.80,   1.83E-010, 
 59.90,   1.83E-010, 
 60.00,   1.87E-010, 
 60.10,   1.99E-010, 
 60.20,   2.24E-010, 
 60.30,   2.71E-010, 
 60.40,   2.78E-010, 
 60.50,   2.48E-010, 
 60.60,   2.14E-010, 
 60.70,   1.83E-010, 
 60.80,   1.80E-010, 
 60.90,   1.71E-010, 
 61.00,   2.01E-010, 
 61.10,   1.82E-010, 
 61.20,   2.14E-010, 
 61.30,   2.22E-010, 
 61.40,   1.78E-010, 
 61.50,   1.79E-010, 
 61.60,   2.15E-010, 
 61.70,   1.99E-010, 
 61.80,   2.40E-010, 
 61.90,   2.13E-010, 
 62.00,   2.75E-010, 
 62.10,   2.80E-010, 
 62.20,   2.21E-010, 
 62.30,   1.74E-010, 
 62.40,   1.51E-010, 
 62.50,   1.03E-010, 
 62.60,   1.80E-010, 
 62.70,   2.24E-010, 
 62.80,   1.87E-010, 
 62.90,   1.17E-010, 
 63.00,   1.44E-010, 
 63.10,   1.56E-010, 
 63.20,   2.79E-010, 
 63.30,   2.66E-010, 
 63.40,   2.93E-010, 
 63.50,   3.22E-010, 
 63.60,   2.92E-010, 
 63.70,   3.01E-010, 
 63.80,   2.05E-010, 
 63.90,   4.78E-010, 
 64.00,   5.97E-010, 
 64.10,   5.14E-010, 
 64.20,   5.24E-010, 
 64.30,   2.33E-010, 
 64.40,   1.45E-010, 
 64.50,   1.41E-010, 
 64.60,   1.82E-010, 
 64.70,   1.66E-010, 
 64.80,   1.86E-010, 
 64.90,   2.38E-010, 
 65.00,   2.50E-010, 
